ID,Birth Year,Education,Marital Status,Income,Kids at Home,Teenagers at Home,Customer Enrolment Data,Recency,Complains,Amt_Wines_2Yrs,Amt_Fruits_2Yrs,Amt_Meat_Prod_2Yrs,Amt_Fish_Prod_2Yrs,Amount_Sweet_Prod_2Yrs,Amount_Gold_Prod_2Yrs,Purchases with Disc.,Off._  Accpt_Cmp1,Off._  Accpt_Cmp2,Off._  Accpt_Cmp3,Off._  Accpt_Cmp4,Off._  Accpt_Cmp5,Off._  Accpt_Last_Cmp,No. of Web Purchases,No. of Catalogue Purchases,No.  Of Store Purchases,No. of Web Visits Last Month
2114,1946,Phd,Single,"? 82,800",0,0,24-11-2012,23,0,1006,22,115,59,68,45,1,1,0,0,0,1,1,7,6,12,3
9736,1980,Graduation,Married,"? 41,850",1,1,24-12-2012,51,0,53,5,19,2,13,4,3,0,0,0,0,0,0,3,0,3,8
4939,1946,Graduation,Together,"? 37,760",0,0,31-08-2012,20,0,84,5,38,150,12,28,2,0,0,0,0,0,0,4,1,6,7
6565,1949,Master,Married,"? 76,995",0,1,28-03-2013,91,0,1012,80,498,0,16,176,2,1,0,0,0,0,0,11,4,9,5
2278,1985,2N Cycle,Single,"? 33,812",1,0,03-11-2012,86,0,4,17,19,30,24,39,2,0,0,0,0,0,0,2,1,3,6
9360,1982,Graduation,Married,"? 37,040",0,0,08-08-2012,41,0,86,2,73,69,38,48,1,0,0,0,0,0,0,4,2,5,8
5376,1979,Graduation,Married,"? 2,447",1,0,06-01-2013,42,0,1,1,1725,1,1,1,15,0,0,0,0,0,0,0,28,0,1
1993,1949,Phd,Married,"? 58,607",0,1,23-12-2012,63,0,867,0,86,0,0,19,3,0,0,0,1,0,0,2,3,9,8
4047,1954,Phd,Married,"? 65,324",0,1,11-01-2014,0,0,384,0,102,21,32,5,3,0,0,0,0,0,0,6,2,9,4
1409,1951,Graduation,Together,"? 40,689",0,1,18-03-2013,69,0,270,3,27,39,6,99,7,0,0,0,0,0,0,7,1,5,8
7892,1969,Graduation,Single,"? 18,589",0,0,02-01-2013,89,0,6,4,25,15,12,13,2,0,0,0,0,0,0,2,1,3,7
2404,1976,Graduation,Married,"? 53,359",1,1,27-05-2013,4,0,173,4,30,3,6,41,4,0,0,0,0,0,0,5,1,4,7
5255,1986,Graduation,Single,NA,1,0,20-02-2013,19,0,5,1,3,3,263,362,0,0,0,0,0,0,0,27,0,0,1
9422,1989,Graduation,Married,"? 38,360",1,0,31-05-2013,26,0,36,2,42,20,21,10,2,0,0,0,0,0,0,2,1,4,3
1966,1965,Phd,Married,"? 84,618",0,0,22-11-2013,96,0,684,100,801,21,66,0,1,0,0,0,0,1,0,6,9,10,2
6864,1989,Master,Divorced,"? 10,979",0,0,22-05-2014,34,0,8,4,10,2,2,4,2,0,0,0,0,0,0,3,0,3,5
3033,1963,Master,Together,"? 38,620",0,0,11-05-2013,56,0,112,17,44,34,22,89,1,0,0,0,0,0,0,2,5,3,3
5710,1970,Graduation,Together,"? 40,548",0,1,10-10-2012,31,0,110,0,5,2,0,3,2,0,0,0,1,0,0,2,1,4,5
7373,1952,Phd,Divorced,"? 46,610",0,2,29-10-2012,8,0,96,12,96,33,22,43,6,0,0,0,0,0,1,4,1,6,6
8755,1946,Master,Married,"? 68,657",0,0,20-02-2013,4,0,482,34,471,119,68,22,1,0,0,0,0,0,0,3,5,9,7
10738,1951,Master,Single,"? 49,389",1,1,29-08-2013,55,0,40,0,19,2,1,3,1,0,0,0,0,0,0,2,0,3,7
4339,1970,Phd,Married,"? 67,353",0,1,31-12-2013,37,0,702,17,151,0,8,35,5,0,0,0,0,0,0,5,6,12,2
10755,1976,2N Cycle,Married,"? 23,718",1,0,02-09-2013,76,0,6,3,14,15,7,36,3,0,0,0,0,0,0,3,1,2,7
8595,1973,Graduation,Widow,"? 42,429",0,1,11-02-2014,99,0,55,0,6,2,0,4,2,0,0,0,0,0,0,1,1,3,5
2968,1943,Phd,Divorced,"? 48,948",0,0,01-02-2013,53,0,437,8,206,160,49,42,2,0,0,1,0,0,1,7,10,5,6
8601,1980,Graduation,Married,"? 80,011",0,1,29-04-2013,3,0,421,76,536,82,178,102,2,0,0,0,0,0,0,8,6,5,4
503,1985,Master,Married,"? 20,559",1,0,12-03-2013,88,0,13,1,29,3,0,7,2,0,0,0,0,0,0,2,0,3,8
8430,1957,Graduation,Together,"? 21,994",0,1,24-12-2012,4,0,9,0,6,3,1,3,1,0,0,0,0,0,0,0,0,3,5
7281,1959,Phd,Single,NA,0,0,05-11-2013,80,0,81,11,50,3,2,39,1,0,0,0,0,0,0,1,3,4,2
2139,1975,Master,Married,"? 7,500",1,0,02-10-2013,19,0,3,1,10,3,2,12,3,0,0,0,0,0,0,2,0,3,5
1371,1976,Graduation,Single,"? 79,941",0,0,28-06-2014,72,0,123,164,266,227,30,174,1,0,0,0,0,0,0,2,4,9,1
9909,1996,2N Cycle,Married,"? 7,500",0,0,09-11-2012,24,0,3,18,14,15,22,50,3,0,0,0,0,0,1,3,1,3,9
7286,1968,Graduation,Together,"? 41,728",1,0,24-05-2013,92,0,13,6,15,3,5,13,1,0,0,0,0,0,0,2,0,2,10
7244,1951,Graduation,Single,NA,2,1,01-01-2014,96,0,48,5,48,6,10,7,3,0,0,0,0,0,0,2,1,4,6
6566,1954,Phd,Married,"? 72,550",1,1,08-11-2012,39,0,826,50,317,50,38,38,9,0,0,0,0,0,0,5,2,12,8
8614,1957,Graduation,Widow,"? 65,486",0,1,12-05-2014,29,0,245,19,125,37,67,14,1,0,0,0,0,0,0,4,2,10,2
4114,1964,Master,Married,"? 79,143",0,0,11-08-2012,2,0,650,37,780,27,167,32,1,0,0,0,0,0,0,6,9,13,3
1331,1977,Graduation,Single,"? 35,790",1,0,02-01-2013,54,0,12,6,20,30,1,3,2,0,0,0,0,0,0,2,0,3,7
2225,1977,Graduation,Divorced,"? 82,582",0,0,07-06-2014,54,0,510,120,550,156,40,241,1,1,0,1,0,0,1,4,9,7,1
9381,1978,Graduation,Married,"? 66,373",1,1,12-06-2013,57,0,328,9,124,12,24,109,7,0,0,0,0,0,0,4,2,10,3
6260,1955,Master,Together,"? 82,384",0,0,19-11-2012,55,0,984,51,432,180,120,190,1,0,0,0,0,1,1,3,10,13,1
10383,1966,Graduation,Divorced,"? 70,287",0,0,02-04-2013,30,0,295,35,482,121,120,40,1,0,0,0,0,0,1,5,5,10,3
7437,1988,Graduation,Single,"? 27,938",1,0,28-04-2014,31,0,13,0,8,2,1,5,1,0,0,0,0,0,0,1,0,4,3
8557,1982,Graduation,Single,NA,1,0,17-06-2013,57,0,11,3,22,2,2,6,2,0,0,0,0,0,0,2,0,3,6
8375,1968,Phd,Married,"? 55,954",0,1,03-03-2014,63,0,447,0,28,0,0,43,3,0,0,0,0,0,0,8,2,6,7
6853,1982,Master,Single,"? 75,777",0,0,04-07-2013,12,0,712,26,538,69,13,80,1,0,0,0,1,1,1,3,6,11,1
3076,1975,Graduation,Together,"? 66,653",1,1,07-09-2012,18,0,452,18,102,16,18,6,4,0,0,0,0,0,0,4,2,12,3
1012,1952,Graduation,Single,"? 61,823",0,1,18-02-2013,26,0,523,7,134,37,14,169,4,0,0,0,0,0,0,8,2,10,7
6518,1951,Phd,Widow,"? 67,680",0,1,11-06-2013,8,0,546,0,48,0,6,6,1,0,0,0,0,0,0,7,3,8,5
4137,1948,Graduation,Together,"? 70,666",0,0,06-12-2013,29,0,398,40,367,119,122,30,1,0,0,0,0,0,0,7,4,4,4
8082,1971,Graduation,Married,"? 25,721",1,0,21-05-2013,75,0,1,3,6,3,6,15,1,0,0,0,0,0,1,1,1,2,7
1386,1967,Graduation,Together,"? 32,474",1,1,11-05-2014,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,7
9369,1979,2N Cycle,Single,"? 88,194",0,1,19-03-2014,19,0,688,14,309,201,24,38,1,1,0,1,0,0,1,11,10,10,5
4477,1958,Graduation,Together,"? 69,096",0,1,27-09-2013,4,0,247,49,159,7,82,109,1,0,0,0,0,0,0,5,2,10,4
1357,1970,Graduation,Together,"? 74,854",1,2,08-04-2013,90,0,856,59,487,58,29,73,7,0,0,0,0,0,0,2,5,5,5
1402,1954,Master,Married,"? 66,991",0,0,11-09-2012,1,0,496,36,460,189,60,12,3,0,0,0,0,0,0,4,8,6,3
10629,1973,2N Cycle,Married,NA,1,0,14-09-2012,25,0,25,3,43,17,4,17,3,0,0,0,0,0,0,3,0,3,8
6312,1959,Graduation,Married,"? 65,031",0,1,17-03-2013,29,0,258,107,291,84,37,86,4,0,0,0,0,0,0,10,3,13,7
8132,1975,Phd,Married,"? 60,631",1,1,05-04-2013,88,0,565,6,65,0,6,19,5,0,0,0,1,0,0,9,2,8,7
1050,1952,Graduation,Married,"? 28,332",0,0,30-04-2014,58,0,14,10,13,4,15,9,1,0,0,0,0,0,0,2,1,4,2
5846,1977,Graduation,Divorced,"? 40,246",1,0,19-12-2012,68,0,2,1,6,2,1,1,1,0,0,0,0,0,0,1,0,2,6
1859,1972,Master,Married,"? 75,251",0,0,27-08-2012,34,0,721,111,925,97,18,18,1,0,0,0,0,0,1,7,6,5,5
7503,1976,Graduation,Single,"? 75,825",0,0,12-10-2012,40,0,1032,105,779,137,105,51,0,0,0,1,0,0,1,5,8,9,4
10401,1976,2N Cycle,Together,"? 26,326",0,0,04-09-2013,12,1,1,0,5,0,3,9,1,0,0,0,0,0,0,0,0,3,3
1618,1965,Graduation,Together,"? 56,046",0,0,02-01-2013,9,0,577,0,64,0,0,51,2,0,0,1,0,0,1,10,1,8,8
3332,1985,Graduation,Single,"? 29,760",1,0,29-08-2012,87,0,64,4,68,7,5,17,4,0,0,0,0,0,0,3,1,4,8
2261,1969,Graduation,Married,"? 26,304",1,0,23-06-2013,5,0,4,1,5,2,0,4,1,0,0,0,0,0,0,1,0,2,7
5346,1973,2N Cycle,Married,"? 23,559",1,0,03-07-2013,87,0,25,5,19,7,0,23,3,0,0,0,0,0,0,3,0,3,7
4119,1963,Master,Together,"? 38,620",0,0,11-05-2013,56,0,112,17,44,34,22,89,1,0,0,0,0,0,0,2,5,3,3
535,1987,Graduation,Divorced,"? 81,361",0,0,25-02-2014,18,0,163,23,424,27,65,76,1,0,0,0,0,0,0,3,10,13,1
5268,1960,Graduation,Married,"? 29,440",1,1,11-08-2013,95,0,17,8,14,10,4,3,2,0,0,0,0,0,0,1,0,4,7
273,1970,Master,Married,"? 36,138",1,1,16-07-2013,48,0,130,0,16,0,0,5,5,0,0,0,1,0,0,3,1,4,7
4452,1957,Graduation,Single,"? 50,388",0,1,28-05-2014,3,0,292,6,37,0,3,34,4,1,0,0,1,0,1,6,1,6,7
8504,1973,Graduation,Married,"? 79,593",0,0,12-05-2014,70,0,350,60,568,110,133,145,1,0,0,0,0,1,0,5,6,7,2
771,1967,Graduation,Together,"? 54,178",0,1,21-01-2014,79,0,135,9,39,4,0,7,1,0,0,0,0,0,0,2,2,5,2
8996,1957,Phd,Married,NA,2,1,19-11-2012,4,0,230,42,192,49,37,53,12,0,0,0,0,0,0,7,2,8,9
9235,1957,Graduation,Single,NA,1,1,27-05-2014,45,0,7,0,8,2,0,1,1,0,0,0,0,0,0,1,0,2,7
5798,1973,Master,Together,NA,0,0,23-11-2013,87,0,445,37,359,98,28,18,1,0,0,0,0,0,0,2,4,8,1
11178,1972,Master,Single,"? 42,394",1,0,23-03-2014,69,0,15,2,10,0,1,4,1,0,0,0,0,0,0,1,0,3,7
2230,1970,Phd,Married,"? 23,626",1,0,24-05-2014,84,0,27,2,14,0,0,0,3,0,0,0,0,0,0,3,1,3,5
7516,1983,Graduation,Married,"? 30,096",1,0,22-05-2014,30,0,5,3,11,12,5,9,1,0,0,0,0,0,0,2,0,3,6
7247,1960,Graduation,Widow,"? 47,916",0,1,22-11-2012,72,0,505,0,26,0,0,75,5,0,0,0,1,0,0,7,4,6,6
11100,1972,Graduation,Divorced,"? 51,813",1,1,11-04-2013,37,0,51,2,7,0,1,2,2,0,0,0,0,0,0,2,0,3,7
4646,1951,2N Cycle,Married,"? 78,497",0,0,01-12-2013,44,0,207,26,447,75,0,223,1,1,0,0,0,0,0,5,7,12,2
3037,1983,Phd,Married,"? 50,150",0,0,20-06-2013,32,0,135,46,92,65,61,11,2,0,0,0,0,0,0,5,2,7,5
1473,1960,2N Cycle,Single,"? 47,823",0,1,23-07-2013,0,0,53,1,5,2,1,10,2,0,0,0,0,0,0,2,0,3,8
1016,1959,Phd,Single,"? 34,554",0,1,30-03-2014,43,0,41,1,6,2,0,5,2,0,0,0,0,0,0,2,0,3,6
4518,1979,Graduation,Together,"? 85,693",0,1,20-04-2013,59,0,386,172,183,185,132,111,2,0,0,0,0,0,0,9,5,11,5
9370,1945,Phd,Married,"? 65,846",0,0,17-05-2013,68,0,562,81,276,80,40,81,1,0,0,0,0,0,0,6,3,6,4
8908,1959,Graduation,Married,"? 87,195",0,0,08-05-2014,35,0,217,76,690,50,26,38,1,0,0,0,0,0,1,3,11,5,1
8373,1979,Basic,Together,"? 24,594",1,0,10-12-2013,94,0,1,3,6,10,0,9,1,0,0,0,0,0,0,1,0,3,5
7533,1964,Graduation,Married,"? 49,096",1,1,24-09-2013,15,0,144,1,32,2,1,7,4,0,0,0,0,0,0,4,1,4,7
2683,1969,Graduation,Married,"? 52,413",0,2,02-02-2013,56,0,295,106,271,75,98,65,4,0,0,0,0,0,0,6,4,12,6
3629,1978,Graduation,Single,"? 38,557",1,0,19-12-2012,17,0,76,3,31,4,4,27,2,0,0,0,0,0,0,3,1,3,7
10991,1960,Master,Married,"? 89,058",0,0,07-12-2012,18,0,454,194,106,31,22,43,1,0,0,0,0,0,0,5,4,4,2
5077,1979,Graduation,Together,"? 77,298",0,1,02-11-2013,46,0,425,115,292,23,35,79,1,0,0,0,0,0,0,6,6,11,3
7431,1991,Phd,Single,"? 68,126",0,0,10-11-2012,40,0,1332,17,311,23,51,86,1,0,0,0,1,0,1,7,4,5,9
3267,1963,Master,Together,"? 57,288",0,1,25-06-2014,27,0,527,0,21,0,0,60,3,0,0,0,1,0,0,8,1,8,6
999,1991,Graduation,Single,"? 86,037",0,0,02-01-2013,95,0,490,44,125,29,20,22,1,0,0,0,1,1,1,6,7,11,3
9215,1980,Phd,Married,"? 43,974",1,0,12-12-2012,19,0,378,0,101,0,0,72,5,0,0,0,0,0,0,6,4,6,7
2286,1962,Graduation,Single,"? 50,785",1,1,10-09-2013,27,0,64,1,21,0,1,27,2,0,0,0,0,0,0,2,1,3,6
1592,1970,Graduation,Married,"? 90,765",0,0,24-01-2014,25,0,547,99,812,151,82,33,0,1,0,0,0,1,0,4,6,5,1
367,1978,2N Cycle,Married,"? 36,550",1,0,19-02-2013,74,0,47,90,94,123,103,120,5,0,0,0,0,0,0,9,1,5,9
5234,1967,2N Cycle,Together,"? 30,753",1,1,11-07-2013,85,0,12,5,25,0,9,30,2,0,0,0,0,0,0,1,1,3,5
9862,1969,Graduation,Together,"? 21,918",1,0,14-11-2013,37,0,1,6,7,11,5,3,2,0,0,0,0,0,0,2,0,3,6
9805,1953,Master,Together,"? 56,129",0,1,20-06-2013,65,0,320,48,133,39,72,48,4,0,0,0,0,0,0,6,2,10,4
6205,1967,Master,Single,"? 32,557",1,0,24-02-2014,13,0,34,3,29,0,4,10,3,0,0,0,0,0,1,2,1,3,5
8442,1985,Master,Married,"? 19,510",2,0,04-09-2013,63,0,9,0,7,3,4,7,2,0,0,0,0,0,0,1,0,3,7
7386,1976,Graduation,Divorced,"? 30,992",1,0,22-04-2013,83,0,17,0,14,7,3,2,1,0,0,0,0,0,0,1,0,3,7
7215,1983,Graduation,Single,"? 1,01,970",0,0,12-03-2013,69,0,722,27,102,44,72,168,0,1,0,0,1,1,1,6,8,13,2
1491,1965,2N Cycle,Together,"? 71,488",0,0,18-02-2013,87,0,162,33,124,40,28,172,2,0,0,0,0,0,0,3,4,7,1
11071,1984,Graduation,Single,"? 79,607",0,0,21-04-2013,37,0,450,133,951,173,0,216,1,0,0,0,0,0,1,3,6,6,1
3381,1953,Master,Married,"? 54,348",1,1,08-06-2014,51,0,70,0,16,0,0,4,2,0,0,0,0,0,0,2,0,4,6
8268,1961,Phd,Married,NA,0,1,11-07-2013,23,0,352,0,27,10,0,15,3,0,0,0,0,0,0,6,1,7,6
11051,1956,Phd,Together,"? 77,376",1,1,10-05-2014,72,0,492,19,110,16,12,12,4,0,0,0,0,0,0,6,3,10,4
8026,1952,Graduation,Married,"? 62,998",0,1,30-09-2013,10,0,120,58,73,65,89,58,5,0,0,0,0,0,0,5,4,5,5
433,1958,Master,Alone,"? 61,331",1,1,10-03-2013,42,0,534,5,47,0,5,41,5,0,0,0,0,0,0,11,1,6,8
9597,1969,Graduation,Married,"? 73,448",0,0,10-02-2014,10,0,236,106,189,23,41,130,1,0,0,0,0,0,0,7,2,9,4
1295,1963,Graduation,Married,NA,0,1,11-08-2013,96,0,231,65,196,38,71,124,1,0,0,0,0,0,0,6,5,7,4
5290,1964,Phd,Married,"? 41,551",1,1,14-08-2013,51,0,220,0,33,3,0,23,5,0,0,0,0,0,0,5,1,5,8
1685,1967,Phd,Together,"? 62,981",0,0,17-03-2013,21,0,796,14,590,38,44,0,1,0,0,0,1,0,0,4,5,13,3
5342,1976,Basic,Divorced,"? 9,548",1,0,08-08-2012,31,0,0,1,3,10,6,9,2,0,0,0,0,0,0,1,0,3,8
9579,1959,Phd,Married,"? 33,762",2,1,07-07-2013,61,0,53,1,34,2,0,16,3,0,0,0,0,0,0,2,2,2,8
7660,1973,Phd,Alone,"? 35,860",1,1,19-05-2014,37,0,15,0,8,4,2,20,2,0,0,1,0,0,1,1,1,2,5
1461,1965,Phd,Divorced,"? 36,921",1,1,28-07-2013,74,0,17,1,12,3,1,4,2,0,0,0,0,0,0,2,0,3,7
821,1992,Master,Single,"? 92,859",0,0,19-10-2012,46,0,962,61,921,52,61,20,1,0,0,0,0,0,0,5,4,12,2
11084,1976,Master,Together,"? 65,104",0,1,14-11-2013,4,0,738,0,232,13,20,50,2,0,0,0,0,0,1,3,5,7,7
8690,1962,Graduation,Married,"? 86,111",0,0,19-04-2013,73,0,399,28,756,36,40,126,1,0,0,0,0,0,0,5,7,10,2
2937,1974,Phd,Single,"? 68,352",0,1,28-08-2013,47,0,614,16,132,43,33,33,3,0,0,0,0,0,0,8,5,9,6
9701,1988,Graduation,Together,"? 41,883",1,0,19-03-2013,13,0,32,34,41,73,16,116,3,0,0,0,0,0,0,4,2,3,7
9949,1976,Graduation,Married,"? 59,809",0,2,18-10-2012,36,0,598,16,141,32,41,49,3,0,0,0,0,0,0,3,3,6,8
10837,1975,Graduation,Married,"? 23,957",1,0,28-10-2012,47,0,2,1,18,20,11,16,1,0,0,0,0,0,1,2,0,3,6
3120,1981,Graduation,Together,"? 38,547",1,0,28-08-2013,49,1,6,1,10,0,1,4,1,0,0,0,0,0,0,1,0,2,8
5885,1973,2N Cycle,Married,"? 35,688",2,1,22-08-2012,94,0,73,3,90,12,1,32,7,0,0,0,0,0,0,4,1,4,8
4050,1966,Master,Married,"? 49,605",0,0,21-06-2014,65,0,42,16,29,12,20,8,1,0,0,0,0,0,0,2,1,4,3
3830,1953,Master,Married,"? 59,354",0,2,24-04-2014,59,0,295,21,78,39,13,13,1,0,0,0,0,0,0,4,4,7,3
7987,1969,Graduation,Married,"? 65,747",0,1,07-03-2014,96,0,346,17,48,23,13,13,4,0,0,0,1,0,0,8,1,6,6
7798,1972,2N Cycle,Together,"? 46,344",0,1,14-12-2012,28,0,233,20,57,8,20,91,4,0,0,0,0,0,0,7,1,5,7
92,1988,Graduation,Alone,"? 34,176",1,0,12-05-2014,12,0,5,7,24,19,14,20,4,0,0,0,0,0,0,3,0,4,6
7055,1952,Phd,Together,"? 61,010",0,1,09-10-2012,57,0,888,0,57,0,0,76,2,0,0,0,0,0,0,8,5,11,5
10240,1949,Graduation,Together,"? 69,372",0,0,19-02-2013,10,0,997,26,269,34,13,42,1,0,0,0,1,1,1,10,4,6,4
3025,1958,Graduation,Single,"? 49,967",0,1,08-07-2013,4,0,212,6,69,4,12,3,3,0,0,0,0,0,0,6,1,5,7
9283,1978,Graduation,Single,"? 60,199",1,2,12-09-2013,49,0,8,1,7,2,0,0,1,0,0,0,0,0,0,0,0,3,4
9970,1977,Graduation,Together,"? 55,375",0,1,17-10-2013,3,0,42,11,57,10,28,14,1,0,0,0,0,0,0,1,1,6,2
2730,1955,Graduation,Single,"? 80,317",0,0,20-08-2013,64,0,536,11,387,149,91,57,1,0,0,0,0,0,0,3,4,10,1
2795,1958,Master,Single,"? 30,523",2,1,01-07-2013,0,0,5,0,3,0,0,5,1,0,0,0,0,0,0,1,0,2,7
9260,1945,Phd,Married,"? 70,356",0,0,05-11-2012,20,0,1349,16,249,43,16,33,2,0,0,0,0,0,0,10,6,9,6
8182,1984,Graduation,Married,"? 23,228",1,0,05-01-2014,91,0,53,3,49,7,4,5,4,0,0,0,0,0,0,3,0,4,8
10095,1975,Phd,Divorced,"? 74,165",0,0,01-05-2013,9,0,1001,12,240,16,12,12,1,0,0,0,0,0,0,5,4,10,2
8475,1973,Phd,Married,"? 1,57,243",0,1,01-03-2014,98,0,20,2,1582,1,2,1,15,0,0,0,0,0,0,0,22,0,0
4370,1966,Graduation,Together,"? 43,482",2,1,13-11-2013,83,0,18,1,32,6,3,28,3,0,0,0,0,0,0,2,0,4,6
10573,1953,Graduation,Divorced,"? 62,551",0,0,18-11-2013,27,0,125,16,98,134,21,27,1,0,0,1,0,0,0,6,7,4,3
3712,1959,Graduation,Divorced,"? 52,332",0,0,28-08-2013,63,0,212,5,33,7,0,2,1,0,0,0,1,0,0,3,2,6,4
6637,1988,Graduation,Single,"? 66,951",0,0,02-11-2013,46,0,277,162,305,173,76,124,1,0,0,0,0,0,0,3,4,7,1
3152,1957,Graduation,Together,"? 26,091",1,1,25-02-2014,84,0,15,10,19,8,17,20,3,0,0,0,0,0,0,2,1,3,5
5610,1965,Graduation,Together,"? 33,456",1,1,21-04-2014,58,0,7,3,10,8,1,7,2,0,0,0,0,0,0,1,0,3,7
6460,1982,Graduation,Married,"? 28,718",1,0,13-07-2013,78,0,12,4,6,11,8,16,2,0,0,0,0,0,0,2,0,3,8
1349,1970,Graduation,Married,"? 50,447",2,0,21-04-2014,4,0,85,7,24,2,3,27,1,0,0,0,0,0,0,3,1,3,6
1880,1959,Phd,Together,"? 53,537",1,1,30-01-2014,17,0,81,0,6,0,0,6,2,0,0,0,0,0,0,2,1,3,5
641,1967,Graduation,Single,"? 52,074",0,1,04-04-2014,77,0,59,0,12,0,0,48,1,0,0,1,0,0,0,2,2,2,4
8717,1975,Phd,Married,"? 80,427",0,1,12-09-2012,56,0,1149,71,449,69,71,26,1,0,0,0,0,0,0,11,8,8,5
10314,1948,Phd,Married,"? 83,837",0,0,16-12-2012,79,0,847,66,119,86,89,111,1,1,0,0,1,0,1,9,10,5,4
10854,1970,Phd,Married,"? 38,853",1,1,23-05-2014,90,0,29,0,14,0,0,2,2,0,0,0,0,0,0,2,0,3,7
10492,1959,Graduation,Together,"? 38,285",2,1,24-06-2014,96,0,2,0,5,2,0,1,1,0,0,0,0,0,0,0,0,3,2
6935,1951,2N Cycle,Married,"? 78,497",0,0,01-12-2013,44,0,207,26,447,75,0,223,1,1,0,0,0,0,0,5,7,12,2
7698,1976,Phd,Married,"? 51,650",0,1,11-05-2014,81,0,152,3,22,2,5,7,1,0,0,0,0,0,0,4,1,4,5
3559,1988,2N Cycle,Married,"? 16,248",1,0,10-05-2014,77,0,12,11,10,3,12,9,3,0,0,0,0,0,0,2,1,3,6
10562,1946,Master,Married,"? 66,835",0,0,28-09-2013,21,0,620,26,195,34,17,141,1,0,0,0,0,0,0,6,4,13,2
10796,1984,Master,Married,"? 30,477",1,0,22-01-2014,16,0,47,1,6,0,0,12,1,0,0,0,0,0,0,1,1,3,6
2563,1961,Basic,Married,"? 28,249",0,0,15-06-2014,80,0,1,9,7,2,14,10,1,0,0,0,0,0,0,2,0,3,6
3518,1983,Graduation,Married,"? 25,271",1,0,05-12-2012,45,0,10,1,18,10,4,7,1,0,0,0,0,0,0,1,1,2,9
5823,1970,Phd,Single,"? 32,303",0,1,08-03-2014,63,0,35,0,2,0,0,2,2,0,0,0,0,0,0,1,0,4,5
3934,1966,Graduation,Married,"? 61,286",0,1,02-08-2013,34,0,356,0,107,19,9,117,2,0,0,0,0,0,0,7,1,8,5
6982,1976,Graduation,Married,"? 74,068",0,0,19-03-2013,14,0,783,30,537,140,76,15,1,0,0,0,0,0,0,4,10,9,2
6431,1964,Phd,Married,"? 45,759",1,1,23-02-2013,13,0,42,1,18,3,0,4,2,0,0,0,0,0,0,2,0,3,7
9733,1978,Basic,Together,"? 24,882",1,0,09-09-2012,52,0,1,4,10,29,0,36,1,0,0,1,0,0,0,1,1,2,6
5602,1989,Phd,Together,"? 66,973",0,0,17-05-2013,98,0,466,22,432,147,113,102,1,0,0,0,0,0,0,8,7,12,3
